family_name,article_title,wikipedia_url,signal_fires,tier_if_applicable,exemplar_ids_matched,notes
data-interpretation-split,Jesus and the woman taken in adultery,https://en.wikipedia.org/wiki/Jesus_and_the_woman_taken_in_adultery,true,upper,,"Clean split: 'The passage', 'History of textual criticism', 'Textual history', and 'Manuscripts' form one contiguous data block (manuscript dating, codices, transmission history); 'Interpretation', 'Arguments for/against Johannine authorship', and 'Status in the Bible' form one contiguous interpretation block with named scholars and hedged debate. Heading 'Interpretation' is accurate, not misleading."
data-interpretation-split,Chronology of Jesus,https://en.wikipedia.org/wiki/Chronology_of_Jesus,true,lower,,"Fires but muddled: nearly every section (birth year, years of preaching, date of crucifixion) is internally 'Mixed' -- concrete historical anchors (Herod's death, Pilate's prefecture) are interwoven paragraph-by-paragraph with scholarly dating debate rather than separated into blocks. No heading is misleading per se, but the mixing happens inside single headed sections, which an old heading classifier would miss."
data-interpretation-split,Nazareth,https://en.wikipedia.org/wiki/Nazareth,true,lower,,"One-sided: the article is almost entirely concrete data (history, geography, demographics, archaeology) with only a brief etymology debate offering any real interpretation. Doesn't achieve a genuine dual-block split -- it's a data-only article with a token analytical passage, not upper-tier."
data-interpretation-split,Calvary,https://en.wikipedia.org/wiki/Calvary,true,lower,,"Muddled: 'Location', 'Church of the Holy Sepulchre', and 'Gordon's Calvary' each interleave concrete archaeological/historical detail with active scholarly debate over site identification rather than separating into blocks; only 'Rockface' and 'Pilgrimages' are purely concrete."
data-interpretation-split,Bethsaida,https://en.wikipedia.org/wiki/Bethsaida,true,lower,,"Muddled/alternating: data (New Testament, History) then interpretation (Identification: candidates) then mixed (El-Araj, Et-Tell) then data (El-Mesydiah) then interpretation ('One or two Bethsaidas?') then data (Fifth Crusade) -- data and interpretation swap back and forth multiple times rather than forming two blocks."
data-interpretation-split,Jesus at the home of Martha and Mary,https://en.wikipedia.org/wiki/Jesus_at_the_home_of_Martha_and_Mary,true,lower,,"The 'Setting' section itself blends concrete gospel background with heavy named-scholar debate (Esler, Piper, Burkitt) about historical location, so the article never has a clean pure-data section; 'Interpretation' is a clean interpretive block, but its predecessor isn't clean data, so the split is muddled rather than sharp."
data-interpretation-split,Healing the deaf mute of Decapolis,https://en.wikipedia.org/wiki/Healing_the_deaf_mute_of_Decapolis,true,lower,,"'Biblical accounts' mixes the quoted gospel text with immediate scholarly interpretive commentary (Blomberg, Witherington) about the man's condition and Jesus's methods; 'Analysis' is purely interpretive and correctly labeled, but the preceding section is not clean data, so the overall split is muddled rather than upper-tier."
data-interpretation-split,Beatitudes,https://en.wikipedia.org/wiki/Beatitudes,true,upper,,"Clean split: 'Matthew 5:3-12' and 'Luke' are pure scriptural text (data block); 'Analysis and interpretation' is a clearly separated interpretive block with named scholars (Willard, Edersheim, Nietzsche) and denominational readings. Heading accurately signals the interpretive section."
data-interpretation-split,Parable of the Two Debtors,https://en.wikipedia.org/wiki/Parable_of_the_Two_Debtors,true,upper,,"Clean split: 'Narrative' (the parable text and setting) is data, immediately followed by a distinct 'Interpretation' block with named theologians (Green, Calvin, C.S. Lewis) debating meaning. 'Art and popular culture' afterward is a separate tertiary reception category, not competing with the core two-block split."
data-interpretation-split,New Commandment,https://en.wikipedia.org/wiki/New_Commandment,true,upper,,"Clean split: 'Gospel of John' and 'Other New Testament references' (with Johannine/Pauline/1 Peter subsections) are a pure textual-citation data block, followed by a single clearly separated 'Interpretations' block with named scholars (Hahn, Wycliffe commentary, Cardinal Martins). No misleading headings."
